"","geo_code","time","CAGR","IndName","Direction","IndWeight","Agg_KC","Agg_NC","Agg_OBJ","X","X.1","X.2","X.3","X.4","CAGRcorrdir","meannc","meankc","meanobj"
"26","EU27_2020",2017,1.22933774075122,"3.1.a.1   MF1",-1,1,"MatResEff","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-1.22933774075122,2.74839412401584,-1.42974600147597,1.86767423035113
"27","EU27_2020",2017,1.63015426220072,"3.1.a.2   Material Footprint (Biomass) per capita",-1,1,"MatResEff","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-1.63015426220072,2.74839412401584,-1.42974600147597,1.86767423035113
"28","EU27_2020",2017,1.92418314803093,"3.1.b.1   EUR KGOE",1,1,"EnerEff","WasteReduc","Defossilization",NA,NA,NA,NA,NA,1.92418314803093,2.74839412401584,2.15834517522729,1.86767423035113
"29","EU27_2020",2017,2.39250720242365,"3.1.b.2   T2020 31",1,1,"EnerEff","WasteReduc","Defossilization",NA,NA,NA,NA,NA,2.39250720242365,2.74839412401584,2.15834517522729,1.86767423035113
"30","EU27_2020",2017,2.70489547114969,"3.1.c.1   maximum cascading factor",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,2.70489547114969,2.74839412401584,2.97017036002888,1.86767423035113
"31","EU27_2020",2017,2.06424468364195,"3.1.c.1   minimum cascading factor",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,2.06424468364195,2.74839412401584,2.97017036002888,1.86767423035113
"32","EU27_2020",2017,0.50306198318173,"3.1.c.2   PC",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.50306198318173,2.74839412401584,2.97017036002888,1.86767423035113
"33","EU27_2020",2017,3.45201379631235,"3.1.c.4   RCY",1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,3.45201379631235,2.74839412401584,2.97017036002888,1.86767423035113
"34","EU27_2020",2017,-0.637416795454082,"3.1.c.5   W072 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,0.637416795454082,2.74839412401584,2.97017036002888,1.86767423035113
"35","EU27_2020",2017,0.559389246990838,"3.1.c.5   W072 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-0.559389246990838,2.74839412401584,2.97017036002888,1.86767423035113
"36","EU27_2020",2017,2.92221519911644,"3.1.c.5   W073 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-2.92221519911644,2.74839412401584,2.97017036002888,1.86767423035113
"37","EU27_2020",2017,3.41339774061171,"3.1.c.5   W075 hh",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-3.41339774061171,2.74839412401584,2.97017036002888,1.86767423035113
"38","EU27_2020",2017,-1.71463879922921,"3.1.c.5   W075 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,1.71463879922921,2.74839412401584,2.97017036002888,1.86767423035113
"39","EU27_2020",2017,2.63263942573519,"3.1.c.5   W076 ind",-1,1,"BiogenWastePrev","WasteReduc","Defossilization",NA,NA,NA,NA,NA,-2.63263942573519,2.74839412401584,2.97017036002888,1.86767423035113
