geo_code,time,value,type,indicator_id
EL,2013,0.17,fellings,2.2.a.1
EL,2014,0.17,fellings,2.2.a.1
EL,2015,0.18,fellings,2.2.a.1
ES,2000,0.47,fellings,2.2.a.1
ES,2001,0.50,fellings,2.2.a.1
ES,2002,0.50,fellings,2.2.a.1
ES,2003,0.51,fellings,2.2.a.1
ES,2004,0.51,fellings,2.2.a.1
ES,2005,0.48,fellings,2.2.a.1
ES,2006,0.49,fellings,2.2.a.1
ES,2007,0.44,fellings,2.2.a.1
ES,2008,0.51,fellings,2.2.a.1
ES,2009,0.42,fellings,2.2.a.1
ES,2010,0.47,fellings,2.2.a.1
ES,2011,0.48,fellings,2.2.a.1
ES,2012,0.54,fellings,2.2.a.1
ES,2013,0.51,fellings,2.2.a.1
ES,2014,0.53,fellings,2.2.a.1
ES,2015,0.52,fellings,2.2.a.1
FR,2000,1.50,fellings,2.2.a.1
FR,2001,0.79,fellings,2.2.a.1
FR,2002,0.77,fellings,2.2.a.1
FR,2003,0.75,fellings,2.2.a.1
FR,2004,0.84,fellings,2.2.a.1
FR,2005,0.83,fellings,2.2.a.1
FR,2006,0.85,fellings,2.2.a.1
FR,2007,0.87,fellings,2.2.a.1
FR,2008,0.84,fellings,2.2.a.1
FR,2009,1.02,fellings,2.2.a.1
FR,2010,0.83,fellings,2.2.a.1
FR,2011,0.84,fellings,2.2.a.1
FR,2012,0.88,fellings,2.2.a.1
FR,2013,0.85,fellings,2.2.a.1
FR,2014,0.88,fellings,2.2.a.1
FR,2015,0.88,fellings,2.2.a.1
HR,2000,0.76,fellings,2.2.a.1
HR,2001,0.45,fellings,2.2.a.1
HR,2002,0.42,fellings,2.2.a.1
HR,2003,0.52,fellings,2.2.a.1
HR,2004,0.42,fellings,2.2.a.1
HR,2005,0.46,fellings,2.2.a.1
HR,2006,0.52,fellings,2.2.a.1
HR,2007,0.62,fellings,2.2.a.1
HR,2008,0.59,fellings,2.2.a.1
HR,2009,0.51,fellings,2.2.a.1
HR,2010,0.52,fellings,2.2.a.1
